epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3637,1.08319,2.31782,1.62517,0.45839,0.46134,0.44752,0.21294,1.72004,2.04661,3.00848,0.00033114,0.00033114,0.00033114
2,139.17,1.06657,1.60806,1.59337,0.48673,0.54428,0.47002,0.23601,1.61976,1.83503,2.36899,0.000642546,0.000642546,0.000642546
3,202.976,1.04616,1.47442,1.56811,0.5327,0.49853,0.55214,0.29325,1.58698,2.06734,2.45779,0.000931952,0.000931952,0.000931952
4,266.688,1.03819,1.4588,1.56188,0.56847,0.50052,0.49926,0.27378,1.43938,1.89814,2.15866,0.000901,0.000901,0.000901
5,330.333,0.99867,1.34711,1.52924,0.48447,0.62446,0.54928,0.35708,1.25977,1.59053,1.96908,0.000868,0.000868,0.000868
6,393.989,0.94918,1.2697,1.48786,0.5503,0.6587,0.6467,0.4194,1.22583,1.35544,1.85824,0.000835,0.000835,0.000835
7,457.378,0.91827,1.18485,1.46127,0.62853,0.58948,0.66002,0.41682,1.26011,1.58322,1.92572,0.000802,0.000802,0.000802
8,520.916,0.90369,1.14449,1.44429,0.65901,0.65218,0.69928,0.46749,1.17369,1.27216,1.79404,0.000769,0.000769,0.000769
9,584.352,0.8864,1.08289,1.42923,0.64334,0.64465,0.6983,0.46817,1.10975,1.42982,1.75914,0.000736,0.000736,0.000736
10,647.812,0.86899,1.03797,1.41314,0.69866,0.77308,0.80591,0.55198,1.11134,1.06807,1.75422,0.000703,0.000703,0.000703
11,711.235,0.85748,1.01816,1.41006,0.70464,0.66623,0.76686,0.53905,1.09173,1.13142,1.6965,0.00067,0.00067,0.00067
12,774.631,0.83497,0.96561,1.39463,0.82713,0.78392,0.84998,0.62157,1.01748,0.88303,1.62022,0.000637,0.000637,0.000637
13,838.415,0.82338,0.93029,1.37941,0.77276,0.60402,0.75954,0.53041,1.08056,1.25138,1.69385,0.000604,0.000604,0.000604
14,902.074,0.8256,0.92461,1.37548,0.74223,0.71061,0.79993,0.57113,1.07004,1.03737,1.67529,0.000571,0.000571,0.000571
15,965.891,0.80935,0.8823,1.36373,0.77235,0.73109,0.83775,0.60922,0.99253,0.9322,1.57408,0.000538,0.000538,0.000538
16,1030.45,0.79856,0.87337,1.35743,0.82368,0.81,0.87714,0.64621,0.94921,0.76035,1.53869,0.000505,0.000505,0.000505
17,1094.43,0.77122,0.81856,1.33674,0.78571,0.82625,0.86894,0.63888,0.98366,0.84192,1.55693,0.000472,0.000472,0.000472
18,1158.48,0.76284,0.783,1.33019,0.81368,0.76711,0.82966,0.59273,1.01874,0.92871,1.60786,0.000439,0.000439,0.000439
19,1222.03,0.75299,0.77425,1.32354,0.79851,0.8778,0.87957,0.65962,0.95608,0.74879,1.54513,0.000406,0.000406,0.000406
20,1285.74,0.7446,0.74838,1.31098,0.80237,0.8269,0.86175,0.62791,1.00611,0.80534,1.60325,0.000373,0.000373,0.000373
21,1384.3,0.72774,0.60077,1.47252,0.82765,0.82545,0.86574,0.65215,0.94118,0.83804,1.52354,0.00034,0.00034,0.00034
22,1447.53,0.68777,0.54473,1.43116,0.83746,0.81502,0.86842,0.64759,0.98262,0.77006,1.57766,0.000307,0.000307,0.000307
23,1510.97,0.67369,0.51017,1.41522,0.83956,0.84269,0.89518,0.65749,0.99036,0.70341,1.61129,0.000274,0.000274,0.000274
24,1574.07,0.65894,0.48567,1.39966,0.85846,0.87112,0.90705,0.6697,0.97954,0.66034,1.57564,0.000241,0.000241,0.000241
25,1637.38,0.63779,0.43487,1.37457,0.87401,0.83025,0.89026,0.65921,0.97944,0.68471,1.56084,0.000208,0.000208,0.000208
26,1700.57,0.62242,0.40727,1.358,0.90022,0.85931,0.90485,0.68588,0.93691,0.63053,1.52868,0.000175,0.000175,0.000175
27,1763.85,0.60938,0.38072,1.33999,0.87258,0.86171,0.90168,0.68583,0.95194,0.64286,1.55999,0.000142,0.000142,0.000142
28,1827.33,0.59503,0.36834,1.34991,0.85347,0.88945,0.90379,0.69771,0.91788,0.62002,1.51555,0.000109,0.000109,0.000109
29,1890.88,0.57677,0.34856,1.31834,0.86298,0.88368,0.91118,0.70531,0.89487,0.5929,1.47874,7.6e-05,7.6e-05,7.6e-05
30,1954.34,0.56779,0.32606,1.30896,0.88344,0.89063,0.91653,0.70869,0.89996,0.58775,1.48839,4.3e-05,4.3e-05,4.3e-05
