epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.424,1.08319,2.31782,1.62517,0.45839,0.46134,0.44752,0.21294,1.72004,2.04661,3.00848,0.00033114,0.00033114,0.00033114
2,140.236,1.07916,1.57908,1.60475,0.46464,0.58774,0.51183,0.2456,1.8261,1.79712,2.74719,0.000631582,0.000631582,0.000631582
3,203.708,1.04314,1.43628,1.56751,0.51577,0.47875,0.51325,0.28251,1.53239,1.93996,2.36385,0.000899024,0.000899024,0.000899024
4,267.059,1.02162,1.43114,1.54864,0.56937,0.48286,0.45421,0.26832,1.44646,2.13828,2.12595,0.0008515,0.0008515,0.0008515
5,330.183,0.99177,1.31376,1.52935,0.62303,0.6361,0.69877,0.43332,1.29266,1.28097,2.00526,0.000802,0.000802,0.000802
6,393.517,0.94747,1.24566,1.48314,0.7384,0.59668,0.69654,0.45329,1.19045,1.34664,1.85276,0.0007525,0.0007525,0.0007525
7,456.716,0.90781,1.14362,1.45513,0.60316,0.49494,0.59917,0.37154,1.25995,1.63973,1.93889,0.000703,0.000703,0.000703
8,520.094,0.88257,1.09725,1.43381,0.72556,0.74321,0.80685,0.56058,1.0895,0.96383,1.73376,0.0006535,0.0006535,0.0006535
9,583.53,0.87029,1.04271,1.41838,0.56084,0.54156,0.5621,0.37514,1.12054,1.84129,1.78178,0.000604,0.000604,0.000604
10,646.879,0.8505,0.99966,1.40125,0.75059,0.7527,0.82487,0.58918,1.02172,0.95269,1.64317,0.0005545,0.0005545,0.0005545
11,745.163,0.8181,0.84376,1.58027,0.64743,0.64751,0.68761,0.46295,1.12956,1.27222,1.7684,0.000505,0.000505,0.000505
12,808.171,0.79056,0.77059,1.54623,0.79379,0.78543,0.8326,0.60288,1.03585,0.91015,1.6459,0.0004555,0.0004555,0.0004555
13,871.428,0.77182,0.71327,1.53055,0.77594,0.78802,0.85744,0.60987,1.05505,0.94696,1.67208,0.000406,0.000406,0.000406
14,935.673,0.74108,0.66394,1.48652,0.85196,0.81125,0.87835,0.64947,0.98787,0.75478,1.57557,0.0003565,0.0003565,0.0003565
15,998.838,0.70563,0.5971,1.46108,0.83112,0.79064,0.84471,0.62521,0.98794,0.85233,1.59513,0.000307,0.000307,0.000307
16,1062.2,0.69842,0.59032,1.45059,0.81176,0.8441,0.869,0.64578,0.9723,0.7622,1.56708,0.0002575,0.0002575,0.0002575
17,1125.5,0.68807,0.51863,1.43242,0.85364,0.83685,0.88271,0.6729,0.93038,0.70284,1.50433,0.000208,0.000208,0.000208
18,1189.05,0.65251,0.47923,1.40366,0.87048,0.85466,0.89769,0.68175,0.95474,0.65226,1.54384,0.0001585,0.0001585,0.0001585
19,1252.42,0.64233,0.43232,1.3804,0.90853,0.84165,0.89885,0.68353,0.93354,0.66243,1.50435,0.000109,0.000109,0.000109
20,1315.98,0.62035,0.40942,1.35946,0.88036,0.86233,0.89236,0.68376,0.91561,0.63999,1.48606,5.95e-05,5.95e-05,5.95e-05
