Clase,AP@0.50 (%),Recall@0.50 (%),F1-Score@0.50 (%)
Compostable,84.64,88.1,86.33
cardboard,95.94,100.0,97.93
glass,100.0,100.0,100.0
metal,98.96,100.0,99.48
paper,91.81,93.02,92.41
plastic,96.0,96.49,96.25
