epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1188,0.86167,1.9746,1.47682,0.29117,0.51365,0.36165,0.19558,1.49719,2.05752,2.71051,0.000331169,0.000331169,0.000331169
2,138.869,0.84922,1.30535,1.4406,0.41204,0.46292,0.39545,0.20447,1.63467,2.05861,2.97086,0.000642574,0.000642574,0.000642574
3,203.154,0.82161,1.22227,1.41357,0.52622,0.59942,0.57434,0.31327,1.42942,1.62766,2.19879,0.000931978,0.000931978,0.000931978
4,267.571,0.81725,1.19355,1.41009,0.59281,0.64111,0.66264,0.47901,1.07494,1.34392,1.77192,0.000901,0.000901,0.000901
5,331.743,0.76646,1.1143,1.37479,0.57798,0.63814,0.70351,0.51288,1.02218,1.29195,1.66016,0.000868,0.000868,0.000868
6,396.373,0.73879,1.0334,1.34734,0.45116,0.54191,0.5373,0.34084,1.3734,2.06068,2.01427,0.000835,0.000835,0.000835
7,460.507,0.72388,0.97471,1.3293,0.76558,0.79959,0.84201,0.64285,0.95583,0.86818,1.55791,0.000802,0.000802,0.000802
8,525.115,0.6968,0.90982,1.30565,0.60904,0.68005,0.72786,0.51762,1.02915,1.46478,1.63976,0.000769,0.000769,0.000769
9,589.5,0.68468,0.87305,1.29622,0.77066,0.73498,0.8387,0.65444,0.86869,0.98539,1.42266,0.000736,0.000736,0.000736
10,653.938,0.66964,0.8416,1.28727,0.77128,0.77558,0.85224,0.64551,0.93037,0.85713,1.51696,0.000703,0.000703,0.000703
11,718.423,0.65629,0.80256,1.27686,0.78344,0.76043,0.86779,0.65306,0.94878,0.86044,1.50669,0.00067,0.00067,0.00067
12,782.84,0.64566,0.77129,1.27262,0.82959,0.82609,0.88379,0.64377,0.99408,0.78075,1.61816,0.000637,0.000637,0.000637
13,846.974,0.63607,0.77003,1.25864,0.818,0.849,0.90904,0.69425,0.91061,0.74117,1.48952,0.000604,0.000604,0.000604
14,911.638,0.61976,0.71942,1.24967,0.85799,0.74796,0.87749,0.69563,0.84844,0.76362,1.3969,0.000571,0.000571,0.000571
15,976.158,0.62594,0.70776,1.24879,0.78437,0.78943,0.88423,0.66349,0.88091,0.88146,1.40633,0.000538,0.000538,0.000538
16,1040.43,0.60718,0.67794,1.23714,0.87242,0.84836,0.92958,0.75259,0.78254,0.63641,1.31255,0.000505,0.000505,0.000505
17,1104.65,0.5985,0.66228,1.22968,0.86939,0.86436,0.94376,0.76854,0.79219,0.61453,1.3298,0.000472,0.000472,0.000472
18,1169.08,0.59124,0.63416,1.22654,0.9052,0.85642,0.92354,0.74025,0.79985,0.60171,1.33528,0.000439,0.000439,0.000439
19,1233.48,0.58733,0.63409,1.21771,0.82974,0.85505,0.9192,0.74273,0.78432,0.69459,1.29736,0.000406,0.000406,0.000406
20,1298.3,0.58355,0.60513,1.21695,0.88804,0.85153,0.93093,0.74891,0.78161,0.62808,1.31234,0.000373,0.000373,0.000373
21,1407.5,0.55787,0.44844,1.33683,0.8913,0.88146,0.92594,0.75258,0.79196,0.62678,1.30897,0.00034,0.00034,0.00034
22,1472.14,0.54286,0.41045,1.31296,0.86773,0.87382,0.92421,0.7576,0.78385,0.63033,1.31401,0.000307,0.000307,0.000307
23,1536.4,0.53084,0.38482,1.30037,0.90501,0.86674,0.93803,0.77015,0.75842,0.54588,1.26793,0.000274,0.000274,0.000274
24,1600.32,0.51352,0.35917,1.28503,0.92412,0.88628,0.95198,0.77891,0.7721,0.56365,1.30684,0.000241,0.000241,0.000241
25,1664.74,0.50382,0.33511,1.28585,0.87337,0.86618,0.92239,0.75844,0.79158,0.62433,1.29557,0.000208,0.000208,0.000208
26,1729.21,0.48781,0.30776,1.26063,0.90008,0.90192,0.94171,0.77895,0.75385,0.53139,1.26111,0.000175,0.000175,0.000175
27,1793.27,0.47711,0.29279,1.25117,0.90513,0.91281,0.9587,0.79203,0.74017,0.50835,1.24826,0.000142,0.000142,0.000142
28,1857.36,0.46635,0.28291,1.2378,0.93363,0.89535,0.95347,0.80369,0.71275,0.48043,1.20857,0.000109,0.000109,0.000109
29,1921.83,0.46116,0.26352,1.23022,0.93575,0.85734,0.94751,0.79358,0.74028,0.52706,1.24568,7.6e-05,7.6e-05,7.6e-05
30,1986.08,0.44307,0.24942,1.21804,0.90954,0.9153,0.9584,0.80708,0.73551,0.49835,1.23625,4.3e-05,4.3e-05,4.3e-05
