epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6626,0.85018,2.75112,1.4675,0.494,0.62368,0.57469,0.39355,1.04767,1.9273,1.78201,0.000330097,0.000330097,0.000330097
2,90.7944,0.77545,1.57076,1.37878,0.43128,0.45268,0.37676,0.19948,1.56035,2.34375,2.40898,0.000641537,0.000641537,0.000641537
3,132.797,0.81064,1.40049,1.39512,0.31914,0.48273,0.33331,0.20516,1.38794,2.7572,2.76007,0.000930977,0.000930977,0.000930977
4,174.518,0.79128,1.22948,1.38716,0.46827,0.44499,0.38075,0.22105,1.76693,2.39722,3.83724,0.000901,0.000901,0.000901
5,216.499,0.74229,1.10699,1.34945,0.50139,0.48002,0.46035,0.24492,1.58607,1.92093,2.79695,0.000868,0.000868,0.000868
6,258.201,0.71507,1.01317,1.3288,0.55496,0.72325,0.69569,0.47093,1.09272,1.39166,1.74532,0.000835,0.000835,0.000835
7,299.95,0.70695,0.95717,1.31741,0.74477,0.65524,0.76137,0.58052,0.98555,1.07154,1.64358,0.000802,0.000802,0.000802
8,341.95,0.68418,0.89561,1.29784,0.60111,0.74384,0.71829,0.49669,1.10909,1.304,1.70263,0.000769,0.000769,0.000769
9,383.921,0.6797,0.86446,1.29183,0.77814,0.76098,0.82659,0.63295,0.90857,0.90356,1.48878,0.000736,0.000736,0.000736
10,425.648,0.66544,0.80559,1.28322,0.65753,0.69594,0.74112,0.54785,0.98163,1.48829,1.55925,0.000703,0.000703,0.000703
11,467.301,0.65593,0.79433,1.27284,0.70038,0.66483,0.75841,0.5537,1.04749,1.37293,1.70203,0.00067,0.00067,0.00067
12,509.095,0.63435,0.75618,1.25823,0.73309,0.7338,0.84556,0.61943,0.98351,1.023,1.59626,0.000637,0.000637,0.000637
13,551.104,0.63542,0.73128,1.25593,0.71724,0.66984,0.78581,0.56725,1.09451,1.29843,1.6493,0.000604,0.000604,0.000604
14,592.778,0.61631,0.70916,1.24453,0.65019,0.61117,0.69958,0.49461,1.09769,1.66447,1.74324,0.000571,0.000571,0.000571
15,634.376,0.60895,0.66405,1.23414,0.87063,0.81923,0.88616,0.688,0.9038,0.7989,1.47432,0.000538,0.000538,0.000538
16,676.214,0.59234,0.66363,1.22051,0.82661,0.83077,0.89246,0.70218,0.88149,0.73343,1.45116,0.000505,0.000505,0.000505
17,718.315,0.59748,0.64679,1.22449,0.85314,0.85447,0.9129,0.71184,0.86261,0.69032,1.39957,0.000472,0.000472,0.000472
18,760.23,0.57997,0.61435,1.22,0.89181,0.85137,0.93698,0.74941,0.85078,0.63435,1.39684,0.000439,0.000439,0.000439
19,802.067,0.57099,0.6003,1.2051,0.86712,0.86728,0.92272,0.7266,0.84308,0.66538,1.39437,0.000406,0.000406,0.000406
20,843.875,0.56795,0.59355,1.20838,0.80277,0.84638,0.9079,0.73076,0.83922,0.76414,1.36978,0.000373,0.000373,0.000373
21,931.799,0.55279,0.43463,1.33009,0.8518,0.83989,0.89049,0.69488,0.88565,0.72746,1.46409,0.00034,0.00034,0.00034
22,973.775,0.5299,0.38568,1.3031,0.7999,0.84892,0.89549,0.71902,0.81399,0.82546,1.36834,0.000307,0.000307,0.000307
23,1015.11,0.5123,0.36364,1.27985,0.90275,0.8698,0.92677,0.73705,0.83999,0.63596,1.40699,0.000274,0.000274,0.000274
24,1056.53,0.50089,0.33703,1.27302,0.8585,0.80123,0.8986,0.73238,0.82905,0.85868,1.38372,0.000241,0.000241,0.000241
25,1097.93,0.49296,0.31451,1.26687,0.88139,0.84554,0.93006,0.75236,0.8047,0.66829,1.34283,0.000208,0.000208,0.000208
26,1139.4,0.47636,0.29442,1.24196,0.89712,0.87403,0.93248,0.7714,0.77086,0.5705,1.29083,0.000175,0.000175,0.000175
27,1180.87,0.46807,0.28557,1.2458,0.90094,0.89055,0.93977,0.7728,0.77366,0.57734,1.31677,0.000142,0.000142,0.000142
28,1222.85,0.44918,0.2686,1.22269,0.91062,0.86675,0.92565,0.77372,0.77044,0.60037,1.30884,0.000109,0.000109,0.000109
29,1264.41,0.44454,0.25521,1.21254,0.92193,0.89141,0.93896,0.78466,0.76261,0.56508,1.30055,7.6e-05,7.6e-05,7.6e-05
30,1305.98,0.43147,0.24756,1.20507,0.90278,0.88383,0.92894,0.78206,0.77251,0.55422,1.31897,4.3e-05,4.3e-05,4.3e-05
