epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3027,0.95208,1.29252,1.41132,0.56555,0.56414,0.58225,0.41889,1.11318,1.45378,1.50329,0.000332856,0.000332856,0.000332856
2,181.45,0.98666,1.42004,1.44218,0.63543,0.51057,0.54609,0.37831,1.17219,1.46788,1.60249,0.000644206,0.000644206,0.000644206
3,264.98,1.00561,1.53055,1.47189,0.58115,0.52234,0.51528,0.35404,1.22228,1.565,1.6157,0.000933555,0.000933555,0.000933555
4,347.574,1.03956,1.49305,1.48854,0.60164,0.50172,0.54044,0.3793,1.2517,1.45034,1.69606,0.000901,0.000901,0.000901
5,430.581,0.99278,1.46743,1.44969,0.63906,0.51847,0.59422,0.42675,1.14566,1.38053,1.54512,0.000868,0.000868,0.000868
6,513.485,0.99324,1.40678,1.4567,0.56582,0.58092,0.59693,0.41731,1.19458,1.41819,1.58902,0.000835,0.000835,0.000835
7,595.843,0.96695,1.37557,1.43809,0.61497,0.52817,0.57152,0.39254,1.1423,1.45107,1.57197,0.000802,0.000802,0.000802
8,678.992,0.94445,1.33613,1.41787,0.62669,0.56435,0.59062,0.42575,1.15392,1.3769,1.54622,0.000769,0.000769,0.000769
9,761.74,0.945,1.3165,1.41216,0.48622,0.57076,0.57014,0.41435,1.10349,1.5339,1.50322,0.000736,0.000736,0.000736
10,844.331,0.9267,1.2714,1.40432,0.62996,0.54719,0.60678,0.43099,1.13904,1.36818,1.50401,0.000703,0.000703,0.000703
11,927.35,0.92471,1.25115,1.38839,0.65381,0.54771,0.62685,0.45343,1.09969,1.20443,1.47444,0.00067,0.00067,0.00067
12,1010.21,0.90379,1.23724,1.3866,0.62335,0.59805,0.61843,0.4464,1.13566,1.32146,1.53574,0.000637,0.000637,0.000637
13,1093.56,0.88895,1.15895,1.37099,0.66245,0.57339,0.60198,0.44494,1.05132,1.30536,1.44602,0.000604,0.000604,0.000604
14,1177.41,0.87127,1.15105,1.35338,0.67237,0.52458,0.61832,0.45761,1.04801,1.33984,1.41113,0.000571,0.000571,0.000571
15,1259.83,0.85476,1.09629,1.33877,0.66554,0.59514,0.65991,0.48507,1.04224,1.20832,1.40993,0.000538,0.000538,0.000538
16,1342.72,0.85822,1.07258,1.34008,0.60837,0.62825,0.63929,0.46426,1.08705,1.27585,1.4641,0.000505,0.000505,0.000505
17,1425.3,0.8291,1.05519,1.3259,0.74104,0.55114,0.62195,0.44983,1.07595,1.3627,1.45019,0.000472,0.000472,0.000472
18,1507.82,0.85638,1.05171,1.33372,0.71937,0.5895,0.64848,0.4871,1.03035,1.25253,1.40734,0.000439,0.000439,0.000439
19,1590,0.82234,1.01244,1.31215,0.72879,0.51405,0.62506,0.4667,1.02671,1.29564,1.40675,0.000406,0.000406,0.000406
20,1672.56,0.80914,0.98612,1.30657,0.6533,0.56994,0.6521,0.49218,1.02913,1.23408,1.38423,0.000373,0.000373,0.000373
21,1802.65,0.79861,0.80984,1.37376,0.73769,0.55031,0.66303,0.49514,1.01236,1.22655,1.38122,0.00034,0.00034,0.00034
22,1886.44,0.76515,0.73998,1.33824,0.68324,0.56892,0.65144,0.49185,1.03716,1.25825,1.40211,0.000307,0.000307,0.000307
23,1969.17,0.74959,0.72577,1.32725,0.70227,0.58051,0.65949,0.49434,1.02525,1.22121,1.40804,0.000274,0.000274,0.000274
24,2051.64,0.72944,0.64314,1.3068,0.67627,0.61565,0.66347,0.4876,1.0153,1.22043,1.40663,0.000241,0.000241,0.000241
25,2134.25,0.71002,0.61172,1.29242,0.74101,0.5603,0.65011,0.485,1.0115,1.24796,1.38944,0.000208,0.000208,0.000208
26,2216.56,0.69341,0.57442,1.28126,0.69309,0.62758,0.65443,0.48506,1.02208,1.20313,1.40897,0.000175,0.000175,0.000175
27,2299.44,0.66825,0.55673,1.25069,0.71161,0.59512,0.66673,0.50434,1.01353,1.19486,1.39636,0.000142,0.000142,0.000142
28,2381.65,0.6617,0.5344,1.24194,0.68648,0.60607,0.66669,0.50212,0.99696,1.23557,1.38918,0.000109,0.000109,0.000109
29,2464.06,0.64552,0.49579,1.22447,0.65362,0.63101,0.65995,0.50206,0.99863,1.24171,1.39768,7.6e-05,7.6e-05,7.6e-05
30,2547.09,0.6246,0.47464,1.21551,0.73798,0.59999,0.67537,0.50987,0.99736,1.20557,1.3919,4.3e-05,4.3e-05,4.3e-05
