epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1947,1.0655,2.1745,1.59921,0.49681,0.33937,0.23059,0.10632,1.70125,2.66779,2.58707,0.000300896,0.000300896,0.000300896
2,141.847,1.0386,1.46703,1.56579,0.57917,0.57695,0.61026,0.329,1.46989,1.48305,2.26781,0.000583967,0.000583967,0.000583967
3,207.593,1.0513,1.41709,1.56348,0.35676,0.54123,0.42182,0.20982,1.36894,2.14789,2.126,0.000847041,0.000847041,0.000847041
4,273.792,1.02929,1.36458,1.55222,0.57867,0.56689,0.64379,0.37442,1.33837,1.55566,2.05918,0.000819009,0.000819009,0.000819009
5,339.931,0.9775,1.28385,1.51508,0.66418,0.68418,0.72384,0.45189,1.25381,1.178,1.97,0.000789012,0.000789012,0.000789012
6,404.473,0.95909,1.18325,1.48926,0.7374,0.72274,0.8065,0.52943,1.18843,1.06229,1.85727,0.000759015,0.000759015,0.000759015
7,467.269,0.92125,1.11963,1.46299,0.58495,0.5249,0.56783,0.35356,1.3678,1.69089,2.05867,0.000729018,0.000729018,0.000729018
8,532.806,0.89177,1.0802,1.43968,0.61143,0.65105,0.72515,0.46396,1.17329,1.51475,1.82295,0.000699021,0.000699021,0.000699021
9,598.524,0.87482,1.02218,1.41323,0.71641,0.64943,0.75129,0.52327,1.04955,1.20416,1.66349,0.000669024,0.000669024,0.000669024
10,665.454,0.86449,0.99713,1.40645,0.6993,0.76477,0.77935,0.53868,1.11563,1.04116,1.75019,0.000639027,0.000639027,0.000639027
11,730.857,0.84808,0.97431,1.39701,0.76616,0.79817,0.84424,0.59752,1.03573,0.84813,1.66466,0.00060903,0.00060903,0.00060903
12,796.306,0.84553,0.93145,1.39122,0.77941,0.80354,0.86153,0.61483,1.04809,0.85197,1.68799,0.000579033,0.000579033,0.000579033
13,859.469,0.83172,0.89058,1.38168,0.81239,0.80349,0.86826,0.62774,1.01126,0.80895,1.61746,0.000549036,0.000549036,0.000549036
14,919.929,0.81402,0.85861,1.36852,0.80998,0.79153,0.85395,0.62637,0.99844,0.8368,1.62213,0.000519039,0.000519039,0.000519039
15,979.975,0.79108,0.83507,1.35202,0.80685,0.79832,0.85492,0.63792,0.95757,0.80325,1.55067,0.000489042,0.000489042,0.000489042
16,1040.38,0.80146,0.79437,1.35988,0.82523,0.78081,0.86099,0.63969,0.96097,0.79065,1.54603,0.000459045,0.000459045,0.000459045
17,1102.31,0.7709,0.77872,1.33007,0.85624,0.754,0.84999,0.627,0.9757,0.81599,1.56972,0.000429048,0.000429048,0.000429048
18,1164.57,0.76665,0.77305,1.33038,0.83966,0.83144,0.89125,0.66718,0.95141,0.75867,1.55092,0.000399051,0.000399051,0.000399051
19,1225.56,0.7554,0.72071,1.31645,0.85937,0.83734,0.89918,0.68697,0.94258,0.66638,1.5463,0.000369054,0.000369054,0.000369054
20,1286.06,0.74903,0.70433,1.30973,0.86262,0.84064,0.88803,0.66953,0.93831,0.74214,1.52276,0.000339057,0.000339057,0.000339057
21,1382.61,0.70324,0.51923,1.4408,0.85455,0.83493,0.88497,0.67412,0.9094,0.73616,1.48823,0.00030906,0.00030906,0.00030906
22,1442.83,0.69044,0.51273,1.42929,0.76423,0.8298,0.85867,0.6451,0.97033,0.83474,1.595,0.000279063,0.000279063,0.000279063
23,1503.13,0.6535,0.4661,1.39548,0.86771,0.83995,0.89721,0.69009,0.91126,0.67918,1.50131,0.000249066,0.000249066,0.000249066
24,1563.36,0.64601,0.42976,1.37719,0.86152,0.81986,0.87595,0.66536,0.9237,0.69972,1.52992,0.000219069,0.000219069,0.000219069
25,1623.6,0.63553,0.41297,1.37309,0.8552,0.83136,0.87265,0.67846,0.91531,0.71306,1.51295,0.000189072,0.000189072,0.000189072
26,1683.91,0.62287,0.38647,1.35248,0.86782,0.85644,0.89963,0.70543,0.88629,0.64447,1.47255,0.000159075,0.000159075,0.000159075
27,1744.21,0.59785,0.35119,1.33606,0.8769,0.82272,0.88654,0.69393,0.88781,0.66716,1.48056,0.000129078,0.000129078,0.000129078
28,1804.63,0.58461,0.3313,1.31197,0.85861,0.83278,0.87803,0.68075,0.91749,0.68953,1.51308,9.9081e-05,9.9081e-05,9.9081e-05
29,1868.48,0.56983,0.32468,1.30583,0.88787,0.81996,0.88598,0.68773,0.89568,0.67768,1.49835,6.9084e-05,6.9084e-05,6.9084e-05
30,1928.99,0.55654,0.30398,1.29166,0.91602,0.81497,0.89288,0.69444,0.88182,0.66061,1.48566,3.9087e-05,3.9087e-05,3.9087e-05
