epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.475,0.68974,2.36889,1.25922,0.72035,0.38207,0.57397,0.3902,1.04732,1.72972,1.64781,0.000297589,0.000297589,0.000297589
2,34.3206,0.71441,1.34663,1.2482,0.64819,0.42297,0.2621,0.20102,1.43503,1.56852,1.76628,0.00058077,0.00058077,0.00058077
3,47.5144,0.73334,1.28532,1.27161,0.57437,0.38735,0.2023,0.13308,2.39754,2.77999,2.91715,0.000843952,0.000843952,0.000843952
4,60.5307,0.75177,1.17857,1.28477,0.74831,0.37778,0.23029,0.12841,1.47022,2.34318,2.05918,0.000819009,0.000819009,0.000819009
5,73.5596,0.74404,1.13133,1.29582,0.85975,0.47778,0.40421,0.35024,0.62896,1.15384,1.04155,0.000789012,0.000789012,0.000789012
6,86.4608,0.75533,1.10773,1.27048,0.56813,0.56721,0.23567,0.1877,0.77296,1.61027,1.27772,0.000759015,0.000759015,0.000759015
7,99.3445,0.67628,1.00168,1.23192,0.72936,0.59662,0.51426,0.45656,0.50036,0.82007,0.77201,0.000729018,0.000729018,0.000729018
8,112.292,0.6912,0.97687,1.22473,0.76025,0.56667,0.69276,0.64865,0.57483,0.92315,0.91923,0.000699021,0.000699021,0.000699021
9,125.401,0.63597,0.88538,1.19635,0.72323,0.54483,0.45011,0.39977,0.47179,1.53609,0.77503,0.000669024,0.000669024,0.000669024
10,138.33,0.61692,0.85943,1.18545,0.78568,0.5493,0.66037,0.55024,0.48895,0.99129,0.8633,0.000639027,0.000639027,0.000639027
11,151.39,0.60527,0.87735,1.18308,0.54048,0.66131,0.66047,0.56131,0.45798,0.94405,0.79538,0.00060903,0.00060903,0.00060903
12,164.339,0.61979,0.81531,1.1877,0.73521,0.77329,0.59321,0.4512,0.48045,0.92869,0.76311,0.000579033,0.000579033,0.000579033
13,177.151,0.60908,0.81617,1.17159,0.69326,0.79979,0.69597,0.55252,0.56959,0.67629,0.94872,0.000549036,0.000549036,0.000549036
14,190.138,0.54125,0.73718,1.12344,0.60269,0.65979,0.52867,0.461,0.41975,0.87036,0.73669,0.000519039,0.000519039,0.000519039
15,203.097,0.54582,0.72606,1.13182,0.78185,0.58889,0.62964,0.52166,0.41085,0.73139,0.67376,0.000489042,0.000489042,0.000489042
16,215.931,0.54997,0.68167,1.1385,0.75485,0.65145,0.67325,0.63643,0.49074,1.0506,0.81534,0.000459045,0.000459045,0.000459045
17,228.718,0.52528,0.65712,1.12163,0.7434,0.76667,0.69428,0.59498,0.39046,0.80435,0.69493,0.000429048,0.000429048,0.000429048
18,241.611,0.50726,0.62615,1.10922,0.72614,0.76667,0.78693,0.68324,0.4821,0.94971,0.8025,0.000399051,0.000399051,0.000399051
19,254.565,0.50915,0.61653,1.11668,0.70349,0.8,0.6965,0.56549,0.4808,0.55454,0.73917,0.000369054,0.000369054,0.000369054
20,267.449,0.48975,0.57353,1.09852,0.57188,0.74206,0.64482,0.61414,0.34516,0.70019,0.58866,0.000339057,0.000339057,0.000339057
21,312.384,0.43471,0.56734,1.10617,0.88675,0.57147,0.66165,0.59772,0.38636,0.76069,0.65535,0.00030906,0.00030906,0.00030906
22,325.33,0.41644,0.47962,1.11129,0.76595,0.48889,0.595,0.54783,0.39771,0.91332,0.6488,0.000279063,0.000279063,0.000279063
23,338.21,0.38168,0.43098,1.04117,0.81477,0.59145,0.59647,0.567,0.30592,0.72513,0.57021,0.000249066,0.000249066,0.000249066
24,351.041,0.37241,0.41463,1.06361,0.81645,0.57778,0.64089,0.6002,0.41841,0.83753,0.721,0.000219069,0.000219069,0.000219069
25,364.058,0.3283,0.33078,0.99459,0.81633,0.58962,0.56251,0.50583,0.36654,0.79274,0.62307,0.000189072,0.000189072,0.000189072
26,376.839,0.33023,0.32932,1.01359,0.82347,0.58889,0.72914,0.62642,0.32775,0.75395,0.60276,0.000159075,0.000159075,0.000159075
27,397.211,0.32386,0.32376,0.9918,0.62291,0.68819,0.49697,0.44434,0.32259,0.80573,0.60891,0.000129078,0.000129078,0.000129078
28,410.158,0.31191,0.32226,0.97606,0.5926,0.72906,0.66264,0.60548,0.34908,0.71888,0.63921,9.9081e-05,9.9081e-05,9.9081e-05
29,423.001,0.28791,0.25558,0.97786,0.81596,0.58982,0.76214,0.66555,0.3412,0.69129,0.65073,6.9084e-05,6.9084e-05,6.9084e-05
30,436.247,0.28902,0.29271,0.9706,0.81571,0.59044,0.66085,0.60386,0.32145,0.75248,0.64277,3.9087e-05,3.9087e-05,3.9087e-05
