epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.223,1.24169,2.51975,1.63522,0.28885,0.34976,0.24014,0.13781,1.55408,2.61534,1.99801,0.000302631,0.000302631,0.000302631
2,364.984,1.32722,2.2195,1.7082,0.34973,0.39498,0.30417,0.17946,1.51983,2.10812,1.97508,0.000575653,0.000575653,0.000575653
3,516.8,1.30519,2.20528,1.70709,0.31324,0.42143,0.30466,0.16597,1.59754,2.20632,1.97989,0.000818677,0.000818677,0.000818677
4,720.441,1.2882,2.14187,1.68942,0.33103,0.37145,0.30933,0.1608,1.65679,2.15502,2.15737,0.000774013,0.000774013,0.000774013
5,884.927,1.24072,2.05183,1.63228,0.41627,0.40746,0.42345,0.26038,1.45115,1.88065,1.84947,0.000729018,0.000729018,0.000729018
6,989.215,1.18324,1.95348,1.5985,0.39556,0.44734,0.41372,0.24881,1.47189,1.89326,1.89592,0.000684022,0.000684022,0.000684022
7,1094.9,1.14969,1.88358,1.57736,0.44531,0.43016,0.41765,0.2583,1.3712,1.85528,1.74073,0.000639027,0.000639027,0.000639027
8,1201.35,1.11052,1.81219,1.54136,0.50518,0.45071,0.44203,0.28027,1.46051,1.77448,1.82012,0.000594031,0.000594031,0.000594031
9,1302.42,1.08208,1.7453,1.51598,0.40725,0.53301,0.48159,0.3174,1.30167,1.66818,1.62301,0.000549036,0.000549036,0.000549036
10,1403.7,1.06386,1.68013,1.48935,0.56285,0.52462,0.53823,0.37638,1.21667,1.48513,1.55533,0.00050404,0.00050404,0.00050404
11,1545.3,1.09142,1.56204,1.64369,0.4286,0.53198,0.48354,0.33406,1.29555,1.5919,1.6327,0.000459045,0.000459045,0.000459045
12,1648.15,1.01293,1.4397,1.56476,0.51336,0.50317,0.48917,0.35082,1.15456,1.61912,1.52729,0.000414049,0.000414049,0.000414049
13,1749.33,0.99003,1.36159,1.53422,0.46294,0.51849,0.49106,0.35494,1.11167,1.58659,1.46935,0.000369054,0.000369054,0.000369054
14,1851.52,0.95753,1.29913,1.496,0.57341,0.50579,0.55678,0.39922,1.12742,1.42006,1.49531,0.000324058,0.000324058,0.000324058
15,1953.08,0.91924,1.21969,1.46492,0.54887,0.53623,0.54507,0.38703,1.14746,1.4651,1.50385,0.000279063,0.000279063,0.000279063
16,2055.06,0.89888,1.13607,1.44301,0.54031,0.54646,0.53762,0.3944,1.10844,1.43252,1.4523,0.000234068,0.000234068,0.000234068
17,2156.62,0.87736,1.09215,1.423,0.57635,0.54905,0.5563,0.421,1.05635,1.40768,1.42046,0.000189072,0.000189072,0.000189072
18,2259.01,0.83824,0.99827,1.38126,0.608,0.5409,0.55822,0.41789,1.0643,1.38299,1.41447,0.000144077,0.000144077,0.000144077
19,2360.64,0.81937,0.93864,1.3671,0.57807,0.58474,0.57905,0.43607,1.04883,1.34099,1.39768,9.9081e-05,9.9081e-05,9.9081e-05
20,2461.67,0.79604,0.88923,1.34569,0.6667,0.53358,0.58859,0.44254,1.03409,1.2909,1.39686,5.40855e-05,5.40855e-05,5.40855e-05
