epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.253,1.26111,2.46419,1.5748,0.29982,0.40277,0.31541,0.19257,1.38276,2.11543,1.68891,0.000302631,0.000302631,0.000302631
2,214.875,1.34886,2.15097,1.65537,0.49799,0.33053,0.33472,0.19165,1.47998,2.3499,1.77396,0.000575653,0.000575653,0.000575653
3,319.672,1.34666,2.19463,1.65479,0.28553,0.40513,0.30986,0.17244,1.46583,2.23651,1.72306,0.000818677,0.000818677,0.000818677
4,423.249,1.33993,2.1004,1.64625,0.35217,0.3733,0.33151,0.20072,1.39852,2.02925,1.70748,0.000774013,0.000774013,0.000774013
5,539.354,1.26637,1.97423,1.58485,0.4094,0.44421,0.41271,0.25599,1.33994,1.88389,1.63084,0.000729018,0.000729018,0.000729018
6,646.121,1.22346,1.88145,1.55001,0.38366,0.45313,0.40878,0.27937,1.25963,1.83373,1.54018,0.000684022,0.000684022,0.000684022
7,749.635,1.1916,1.79756,1.53179,0.46655,0.48248,0.47333,0.34332,1.17736,1.67186,1.47992,0.000639027,0.000639027,0.000639027
8,851.055,1.1565,1.74936,1.50568,0.49252,0.53667,0.48448,0.30112,1.31669,1.63156,1.59682,0.000594031,0.000594031,0.000594031
9,952.367,1.12524,1.66748,1.47309,0.47301,0.49509,0.47589,0.32592,1.21254,1.62014,1.47447,0.000549036,0.000549036,0.000549036
10,1053.76,1.09445,1.57426,1.45168,0.5573,0.52486,0.55264,0.39508,1.15779,1.5185,1.40662,0.00050404,0.00050404,0.00050404
11,1199.34,1.09183,1.49983,1.52796,0.48477,0.52584,0.50231,0.36185,1.15471,1.67746,1.43684,0.000459045,0.000459045,0.000459045
12,1299.02,1.0532,1.3979,1.49719,0.55131,0.52741,0.51862,0.36223,1.16991,1.63693,1.43384,0.000414049,0.000414049,0.000414049
13,1399,1.00472,1.31722,1.44194,0.54848,0.47338,0.52139,0.37936,1.1016,1.56366,1.36663,0.000369054,0.000369054,0.000369054
14,1499.29,0.96838,1.22626,1.41223,0.53242,0.58284,0.56177,0.41526,1.0378,1.4727,1.33178,0.000324058,0.000324058,0.000324058
15,1598.8,0.93098,1.1293,1.38382,0.57416,0.56426,0.58888,0.44423,1.0497,1.36565,1.35425,0.000279063,0.000279063,0.000279063
16,1698.75,0.91363,1.09194,1.36254,0.59064,0.57522,0.5836,0.43765,1.02536,1.40708,1.29711,0.000234068,0.000234068,0.000234068
17,1798.33,0.88324,1.04097,1.33761,0.61002,0.6053,0.62415,0.46177,1.05284,1.30612,1.32694,0.000189072,0.000189072,0.000189072
18,1898.54,0.84777,0.95417,1.30901,0.59402,0.59076,0.59321,0.44616,1.0174,1.36733,1.28708,0.000144077,0.000144077,0.000144077
19,1998.53,0.82374,0.89847,1.29185,0.5985,0.59178,0.62113,0.46009,1.02917,1.32188,1.2941,9.9081e-05,9.9081e-05,9.9081e-05
20,2098.7,0.79473,0.82955,1.26928,0.62143,0.56216,0.61506,0.45463,1.0345,1.32209,1.30337,5.40855e-05,5.40855e-05,5.40855e-05
