epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5641,1.08319,2.31782,1.62517,0.45839,0.46134,0.44752,0.21294,1.72004,2.04661,3.00848,0.00033114,0.00033114,0.00033114
2,141.235,1.07916,1.57908,1.60475,0.46464,0.58774,0.51183,0.2456,1.8261,1.79712,2.74719,0.000631582,0.000631582,0.000631582
3,206.634,1.04314,1.43628,1.56751,0.51577,0.47875,0.51325,0.28251,1.53239,1.93996,2.36385,0.000899024,0.000899024,0.000899024
4,272.111,1.02162,1.43114,1.54864,0.56937,0.48286,0.45421,0.26832,1.44646,2.13828,2.12595,0.0008515,0.0008515,0.0008515
5,338.601,0.99177,1.31376,1.52935,0.62303,0.6361,0.69877,0.43332,1.29266,1.28097,2.00526,0.000802,0.000802,0.000802
6,403.978,0.94747,1.24566,1.48314,0.7384,0.59668,0.69654,0.45329,1.19045,1.34664,1.85276,0.0007525,0.0007525,0.0007525
7,469.401,0.90781,1.14362,1.45513,0.60316,0.49494,0.59917,0.37154,1.25995,1.63973,1.93889,0.000703,0.000703,0.000703
8,534.954,0.88257,1.09725,1.43381,0.72556,0.74321,0.80685,0.56058,1.0895,0.96383,1.73376,0.0006535,0.0006535,0.0006535
9,600.842,0.87029,1.04271,1.41838,0.56084,0.54156,0.5621,0.37514,1.12054,1.84129,1.78178,0.000604,0.000604,0.000604
10,666.157,0.8505,0.99966,1.40125,0.75059,0.7527,0.82487,0.58918,1.02172,0.95269,1.64317,0.0005545,0.0005545,0.0005545
