epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.202,0.91869,1.72888,1.5203,0.30469,0.41841,0.21079,0.12639,1.38922,90.9629,2.14562,0.000332248,0.000332248,0.000332248
2,309.569,0.94388,1.51214,1.52226,0.37482,0.56096,0.39012,0.20011,1.59322,1.91614,2.26147,0.000643617,0.000643617,0.000643617
3,459.575,0.89875,1.45944,1.48539,0.33149,0.5399,0.36875,0.23247,1.24265,1.88559,1.96015,0.000932986,0.000932986,0.000932986
4,605.869,0.87483,1.36975,1.45937,0.52559,0.63057,0.6533,0.46068,1.08595,1.27234,1.7526,0.000901,0.000901,0.000901
5,747.595,0.80651,1.27258,1.40873,0.56353,0.69574,0.66968,0.47384,1.04754,1.28988,1.71589,0.000868,0.000868,0.000868
6,889.499,0.78253,1.20705,1.38549,0.64487,0.7191,0.75496,0.5447,0.99087,1.18678,1.6345,0.000835,0.000835,0.000835
7,1031.25,0.75561,1.12459,1.36178,0.64188,0.66534,0.70905,0.4953,1.15973,1.12977,1.92379,0.000802,0.000802,0.000802
8,1172.94,0.73252,1.08889,1.34216,0.64385,0.76752,0.78048,0.59482,0.97494,0.98357,1.56098,0.000769,0.000769,0.000769
9,1315.02,0.7063,1.02824,1.32262,0.65974,0.74407,0.75956,0.55988,0.95875,1.06834,1.54288,0.000736,0.000736,0.000736
10,1456.53,0.70324,1.00356,1.32274,0.69745,0.74769,0.79825,0.60904,0.92921,0.98919,1.52232,0.000703,0.000703,0.000703
11,1597.77,0.69535,0.96943,1.31354,0.62942,0.61052,0.68562,0.51866,0.97815,1.56039,1.58314,0.00067,0.00067,0.00067
12,1739.02,0.68324,0.92384,1.30839,0.80183,0.82074,0.88195,0.69734,0.85382,0.73869,1.39784,0.000637,0.000637,0.000637
13,1881.06,0.66471,0.89637,1.28661,0.82225,0.80516,0.89252,0.70502,0.82211,0.77284,1.36995,0.000604,0.000604,0.000604
14,2019.24,0.65013,0.86721,1.28004,0.78235,0.80214,0.86468,0.67429,0.85934,0.79657,1.42069,0.000571,0.000571,0.000571
15,2156.94,0.63621,0.83304,1.26458,0.81002,0.86516,0.9018,0.72274,0.81436,0.72156,1.36297,0.000538,0.000538,0.000538
16,2295.18,0.63778,0.8267,1.26513,0.79267,0.81862,0.88454,0.70506,0.81976,0.72315,1.36376,0.000505,0.000505,0.000505
17,2432.88,0.61856,0.79039,1.24971,0.77197,0.82374,0.88785,0.70639,0.80589,0.73836,1.34933,0.000472,0.000472,0.000472
18,2570.81,0.61898,0.76442,1.25021,0.88102,0.8453,0.93023,0.74516,0.81317,0.6371,1.36287,0.000439,0.000439,0.000439
19,2707.91,0.61309,0.76537,1.24547,0.87531,0.85039,0.92508,0.73006,0.85555,0.67641,1.37699,0.000406,0.000406,0.000406
20,2845.04,0.60946,0.74139,1.24162,0.86065,0.87372,0.932,0.74486,0.79597,0.62415,1.31546,0.000373,0.000373,0.000373
21,3026.55,0.59504,0.59998,1.37934,0.86281,0.81348,0.90659,0.72779,0.82629,0.68157,1.35909,0.00034,0.00034,0.00034
22,3163.59,0.58271,0.56137,1.35754,0.86463,0.7874,0.89924,0.72565,0.80324,0.71727,1.32137,0.000307,0.000307,0.000307
23,3300.5,0.56018,0.52335,1.33793,0.84618,0.88552,0.93523,0.76645,0.74796,0.60673,1.26077,0.000274,0.000274,0.000274
24,3437.93,0.53723,0.48025,1.32494,0.84284,0.8562,0.92291,0.75384,0.75597,0.59593,1.27306,0.000241,0.000241,0.000241
25,3575.28,0.54191,0.46215,1.32752,0.87564,0.90862,0.94708,0.77416,0.76869,0.54583,1.27258,0.000208,0.000208,0.000208
26,3712.51,0.53251,0.44524,1.31217,0.85052,0.86892,0.93123,0.77143,0.72903,0.59471,1.2332,0.000175,0.000175,0.000175
27,3849.81,0.51793,0.40958,1.29887,0.88548,0.86199,0.94445,0.7768,0.7541,0.57014,1.2433,0.000142,0.000142,0.000142
28,3987.16,0.51009,0.38932,1.28623,0.88679,0.89199,0.9412,0.7885,0.71969,0.55657,1.21204,0.000109,0.000109,0.000109
29,4124.83,0.49593,0.36227,1.26811,0.90608,0.89029,0.95048,0.79184,0.7166,0.50761,1.2033,7.6e-05,7.6e-05,7.6e-05
30,4262.17,0.48685,0.34126,1.2623,0.89813,0.91879,0.95021,0.7948,0.71127,0.47568,1.19584,4.3e-05,4.3e-05,4.3e-05
