epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4694,0.70885,2.85346,1.26779,0.68502,0.34444,0.32235,0.25037,0.90873,1.68083,1.20758,0.000297589,0.000297589,0.000297589
2,33.4936,0.68269,1.30942,1.22485,0.87083,0.36667,0.36635,0.31445,0.71914,1.43494,1.00175,0.00058077,0.00058077,0.00058077
3,46.7905,0.69641,1.22645,1.23316,0.59924,0.51501,0.3475,0.2536,0.92589,2.13376,1.47407,0.000843952,0.000843952,0.000843952
4,59.9053,0.69065,1.12905,1.23261,0.67653,0.49311,0.4087,0.3549,0.56563,2.69832,1.07052,0.000819009,0.000819009,0.000819009
5,72.7475,0.69112,1.06699,1.24755,0.80024,0.57206,0.65761,0.5712,0.4257,1.15354,0.674,0.000789012,0.000789012,0.000789012
6,85.6878,0.68667,1.03616,1.21472,0.7325,0.51489,0.42938,0.40773,0.57299,1.61022,0.89863,0.000759015,0.000759015,0.000759015
7,98.8064,0.64805,0.96828,1.20078,0.5091,0.57094,0.48325,0.39139,0.55021,1.06755,0.80446,0.000729018,0.000729018,0.000729018
8,112.274,0.63633,0.91991,1.18049,0.87986,0.47761,0.47067,0.40546,0.48212,0.82296,0.74342,0.000699021,0.000699021,0.000699021
9,125.195,0.59671,0.86714,1.16239,0.6306,0.71323,0.56185,0.4693,0.49532,0.80869,0.73543,0.000669024,0.000669024,0.000669024
10,138.401,0.59585,0.79239,1.16519,0.68545,0.5,0.43092,0.36699,0.39245,1.08682,0.67734,0.000639027,0.000639027,0.000639027
11,151.161,0.57981,0.80404,1.14982,0.75588,0.57778,0.55572,0.49685,0.44617,0.91067,0.71509,0.00060903,0.00060903,0.00060903
12,163.921,0.56213,0.74408,1.14278,0.77173,0.57737,0.58675,0.46377,0.48102,0.69633,0.77667,0.000579033,0.000579033,0.000579033
13,176.628,0.56025,0.72228,1.14173,0.70803,0.78507,0.796,0.70241,0.41232,0.65629,0.65846,0.000549036,0.000549036,0.000549036
14,189.433,0.52947,0.66957,1.09841,0.69122,0.67778,0.54373,0.41099,0.49401,1.03789,0.75637,0.000519039,0.000519039,0.000519039
15,202.122,0.49682,0.64907,1.08808,0.61003,0.64916,0.58181,0.46272,0.62561,0.98777,0.93673,0.000489042,0.000489042,0.000489042
16,214.855,0.53807,0.63106,1.11891,0.75136,0.47765,0.49009,0.44113,0.36485,1.00097,0.64853,0.000459045,0.000459045,0.000459045
17,227.645,0.4983,0.58979,1.09512,0.64044,0.79048,0.49634,0.43203,0.40177,0.79373,0.66034,0.000429048,0.000429048,0.000429048
18,240.356,0.49705,0.6019,1.09083,0.75453,0.57719,0.43667,0.38411,0.40734,1.09582,0.72947,0.000399051,0.000399051,0.000399051
19,253.071,0.47484,0.57447,1.08319,0.61877,0.78166,0.54647,0.47748,0.42489,0.70282,0.72552,0.000369054,0.000369054,0.000369054
20,265.822,0.46556,0.56055,1.07303,0.62931,0.79694,0.546,0.47956,0.39006,0.76212,0.64015,0.000339057,0.000339057,0.000339057
21,308.827,0.4177,0.51291,1.07327,0.60933,0.70069,0.56314,0.49178,0.31738,0.67655,0.6043,0.00030906,0.00030906,0.00030906
22,321.485,0.39883,0.48312,1.06707,0.72761,0.77047,0.66317,0.53109,0.37245,0.68594,0.69098,0.000279063,0.000279063,0.000279063
23,334.144,0.36022,0.44119,1.01256,0.84823,0.46496,0.61218,0.55727,0.32706,0.75544,0.5913,0.000249066,0.000249066,0.000249066
24,346.835,0.33436,0.36039,1.01804,0.79289,0.57778,0.56157,0.50586,0.34449,0.80491,0.57404,0.000219069,0.000219069,0.000219069
25,359.471,0.33203,0.3212,0.98499,0.48068,0.8,0.69597,0.59791,0.35292,0.58105,0.62694,0.000189072,0.000189072,0.000189072
26,372.102,0.31065,0.31508,0.98538,0.6292,0.79061,0.56314,0.49702,0.34915,0.72948,0.63995,0.000159075,0.000159075,0.000159075
27,384.733,0.30445,0.28482,0.96993,0.88145,0.58077,0.56215,0.52045,0.30565,0.72967,0.57203,0.000129078,0.000129078,0.000129078
28,397.34,0.28932,0.29089,0.94615,0.87723,0.59404,0.56331,0.51254,0.32349,0.65289,0.59278,9.9081e-05,9.9081e-05,9.9081e-05
29,410.008,0.26574,0.23954,0.94825,0.88873,0.5916,0.56383,0.52021,0.32342,0.6225,0.58791,6.9084e-05,6.9084e-05,6.9084e-05
30,422.625,0.26334,0.24414,0.93929,0.41022,0.8,0.66264,0.60746,0.32595,0.67802,0.59232,3.9087e-05,3.9087e-05,3.9087e-05
