epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.1158,1.21484,2.50033,1.63911,0.25654,0.37663,0.21929,0.09733,1.5897,2.46103,2.0608,0.000332856,0.000332856,0.000332856
2,175.807,1.29108,2.16399,1.70532,0.38063,0.40637,0.31292,0.16555,1.59096,2.12501,2.08869,0.000633213,0.000633213,0.000633213
3,259.987,1.2702,2.15193,1.70778,0.38273,0.37698,0.35036,0.18158,1.63662,2.15301,2.0744,0.00090057,0.00090057,0.00090057
4,348.509,1.26778,2.04147,1.68564,0.4202,0.39991,0.37135,0.19979,1.62805,2.00665,2.13647,0.0008515,0.0008515,0.0008515
5,435.608,1.18108,1.96174,1.61534,0.35861,0.42651,0.37901,0.23606,1.49184,1.93409,1.92197,0.000802,0.000802,0.000802
6,524.625,1.1681,1.87869,1.60954,0.45262,0.48455,0.45113,0.27464,1.49915,1.71869,1.96218,0.0007525,0.0007525,0.0007525
7,614.356,1.11529,1.77826,1.56164,0.53436,0.46724,0.47133,0.30493,1.32138,1.65785,1.76156,0.000703,0.000703,0.000703
8,701.213,1.08145,1.69142,1.53581,0.49794,0.50899,0.48444,0.3098,1.38534,1.71786,1.76695,0.0006535,0.0006535,0.0006535
9,784.382,1.05023,1.65784,1.5042,0.46164,0.57265,0.53276,0.36953,1.17849,1.5319,1.61697,0.000604,0.000604,0.000604
10,871.276,1.02752,1.59047,1.49254,0.54223,0.5557,0.54826,0.38028,1.19321,1.47316,1.60591,0.0005545,0.0005545,0.0005545
11,998.71,1.02248,1.50983,1.60436,0.52985,0.52179,0.52679,0.37171,1.16822,1.54798,1.58854,0.000505,0.000505,0.000505
12,1087.38,0.97865,1.3918,1.55598,0.60577,0.52826,0.55679,0.39996,1.14382,1.50772,1.56026,0.0004555,0.0004555,0.0004555
13,1176.16,0.94254,1.28717,1.52285,0.61301,0.52548,0.56788,0.41225,1.09987,1.41613,1.53323,0.000406,0.000406,0.000406
14,1264.66,0.91575,1.20241,1.4964,0.62633,0.55825,0.61346,0.44695,1.10515,1.34065,1.52569,0.0003565,0.0003565,0.0003565
15,1355.72,0.88732,1.14598,1.45717,0.73598,0.54663,0.63885,0.47904,1.06151,1.24269,1.44443,0.000307,0.000307,0.000307
16,1442.42,0.85248,1.04529,1.42624,0.6725,0.60522,0.64073,0.46989,1.05658,1.27658,1.45769,0.0002575,0.0002575,0.0002575
17,1524.18,0.82713,0.9848,1.41069,0.59941,0.62949,0.61584,0.45623,1.0564,1.28453,1.42733,0.000208,0.000208,0.000208
18,1605.12,0.81434,0.91911,1.3857,0.68218,0.62039,0.66162,0.49596,1.04029,1.21422,1.41599,0.0001585,0.0001585,0.0001585
19,1686.54,0.76897,0.84714,1.34771,0.69389,0.61378,0.67509,0.50716,1.01693,1.15602,1.38206,0.000109,0.000109,0.000109
20,1768.23,0.75218,0.7912,1.34049,0.65986,0.63409,0.67621,0.50788,0.99834,1.1616,1.36505,5.95e-05,5.95e-05,5.95e-05
