epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.888,1.18469,2.29701,1.60192,0.37523,0.38687,0.28267,0.13503,1.72848,3.0529,2.46788,0.00033218,0.00033218,0.00033218
2,270.041,1.21924,1.73772,1.63193,0.48789,0.45893,0.43879,0.24048,1.5909,1.8336,2.13405,0.000643551,0.000643551,0.000643551
3,396.276,1.20389,1.66061,1.61353,0.42785,0.40387,0.37734,0.19173,1.69054,2.00482,2.29609,0.000932923,0.000932923,0.000932923
4,522.847,1.16539,1.6079,1.58926,0.59934,0.4192,0.43048,0.21765,1.69942,2.15304,2.34503,0.000901,0.000901,0.000901
5,649.454,1.10272,1.46974,1.53431,0.64459,0.58868,0.63844,0.39327,1.3322,1.51826,1.84139,0.000868,0.000868,0.000868
6,776.245,1.07337,1.38201,1.50587,0.61221,0.5481,0.58067,0.36769,1.28426,1.55157,1.78875,0.000835,0.000835,0.000835
7,903.042,1.03839,1.30682,1.47963,0.65489,0.57015,0.63424,0.40356,1.27679,1.40939,1.81051,0.000802,0.000802,0.000802
8,1029.64,1.02427,1.24944,1.46748,0.67682,0.54774,0.64028,0.41218,1.32804,1.38656,1.83528,0.000769,0.000769,0.000769
9,1156.56,1.00594,1.18894,1.44692,0.66216,0.59794,0.64477,0.41148,1.32995,1.44775,1.81076,0.000736,0.000736,0.000736
10,1283.27,0.97992,1.14273,1.42615,0.70324,0.64354,0.6998,0.46961,1.17484,1.22642,1.66408,0.000703,0.000703,0.000703
11,1409.87,0.95997,1.09782,1.41052,0.64733,0.65845,0.68891,0.45068,1.25445,1.29736,1.74238,0.00067,0.00067,0.00067
12,1536.92,0.94612,1.07179,1.39929,0.69303,0.65609,0.70059,0.47699,1.15283,1.16021,1.65389,0.000637,0.000637,0.000637
13,1664.1,0.93818,1.03447,1.39382,0.76561,0.68782,0.76603,0.52903,1.14225,1.05182,1.63488,0.000604,0.000604,0.000604
14,1792.71,0.91453,0.99472,1.37663,0.70359,0.63051,0.70926,0.48095,1.18001,1.19589,1.67993,0.000571,0.000571,0.000571
15,1912.73,0.90673,0.96793,1.37065,0.77925,0.62965,0.74278,0.51801,1.11671,1.0788,1.58181,0.000538,0.000538,0.000538
16,2032.71,0.88143,0.9233,1.34842,0.76143,0.71052,0.76891,0.53269,1.11949,1.04756,1.59404,0.000505,0.000505,0.000505
17,2153.01,0.86917,0.89501,1.34339,0.80455,0.66495,0.77261,0.53886,1.1106,1.01364,1.58326,0.000472,0.000472,0.000472
18,2272.56,0.87383,0.87579,1.34441,0.81835,0.72072,0.81379,0.57068,1.08912,0.93779,1.57292,0.000439,0.000439,0.000439
19,2394.17,0.85439,0.83628,1.3293,0.81434,0.73098,0.82182,0.58506,1.07166,0.92672,1.53965,0.000406,0.000406,0.000406
20,2514.05,0.84732,0.83231,1.32663,0.82173,0.73716,0.8186,0.58337,1.07713,0.93732,1.54523,0.000373,0.000373,0.000373
21,2678.1,0.84039,0.67544,1.42277,0.8136,0.70939,0.80757,0.57514,1.06111,0.92243,1.52608,0.00034,0.00034,0.00034
22,2797.81,0.80845,0.63559,1.39711,0.77751,0.74151,0.81583,0.58669,1.06535,0.92571,1.53991,0.000307,0.000307,0.000307
23,2917.66,0.79651,0.58958,1.38253,0.83008,0.7267,0.81691,0.59,1.05218,0.92289,1.52855,0.000274,0.000274,0.000274
24,3036.85,0.77567,0.55703,1.36731,0.81415,0.71535,0.80874,0.58013,1.07473,0.93257,1.54979,0.000241,0.000241,0.000241
25,3156.26,0.75363,0.5331,1.3475,0.80004,0.76209,0.82934,0.59769,1.05774,0.88237,1.53997,0.000208,0.000208,0.000208
26,3275.68,0.73731,0.5144,1.33249,0.80502,0.76712,0.83325,0.60678,1.02695,0.85697,1.52171,0.000175,0.000175,0.000175
27,3395.26,0.7155,0.47422,1.31253,0.85184,0.74017,0.84142,0.61226,1.03336,0.85812,1.52473,0.000142,0.000142,0.000142
28,3514.84,0.70452,0.45503,1.29835,0.85628,0.71806,0.83407,0.61284,1.02888,0.86156,1.52956,0.000109,0.000109,0.000109
29,3634.1,0.69081,0.43625,1.28583,0.80215,0.76908,0.83921,0.61579,1.02414,0.84894,1.51205,7.6e-05,7.6e-05,7.6e-05
30,3753.81,0.66585,0.41193,1.26137,0.82109,0.76161,0.84362,0.62,1.02194,0.84635,1.52396,4.3e-05,4.3e-05,4.3e-05
